Notebook Link,status,additional_exclusion_columns,additional_key_columns,data_comparison_filter,environment,layer_name,source_table_name,target_table_name,note
https://adb-1406497925929477.17.azuredatabricks.net/jobs/22470242629911/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_prm_priv_joint_acct_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_prm_priv_joint_acct_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/509303293406111/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_prm_priv_threshold_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_prm_priv_threshold_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/315889399558453/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_prm_priv_wealth_flg_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_prm_priv_wealth_flg_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/705727252823694/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_wbg_custowner_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_wbg_custowner_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/866057291982428/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_account_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_account_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/635927245662686/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_call_log_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_call_log_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/915019790384741/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_campaign_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_campaign_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/734759080417480/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_campaign_response_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_campaign_response_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/160633417432526/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_case_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_case_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1043991220166383/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_case_history_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_case_history_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/528564754373437/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_case_milestones_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_case_milestones_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/425158231499094/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_crm_lead_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_crm_lead_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/853020317383862/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_customer_contact_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_customer_contact_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/823114410061810/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_deal_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_deal_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/515347193242726/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_event_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_event_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/733370959003962/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_expected_drawdown_repayment_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_expected_drawdown_repayment_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1044864429331907/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_expected_monthly_trade_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_expected_monthly_trade_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/113275438976207/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_lead_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_lead_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/102633834610965/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_list_of_value_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_list_of_value_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/631157922603315/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_opportunity_related_product_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_opportunity_related_product_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1039736067900492/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_opportunity_related_product_sme_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_opportunity_related_product_sme_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/266445213460061/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_opportunity_team_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_opportunity_team_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1010634424572009/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_profile_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_profile_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/831690262932486/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_record_type_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_record_type_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/970107371817609/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_role_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_role_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/155373466833582/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_task_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_task_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/438378247150014/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfdc_db.sfdc_user_1_0,scbucudpsit.dlsit_persist_sfdc_db.sfdc_user_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/491844922781337/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_srs_db.srs_debenture_1_0,scbucudpsit.dlsit_persist_srs_db.srs_debenture_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/808536255041695/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_ssup_db.ssup_ssuptrans_1_0,scbucudpsit.dlsit_persist_ssup_db.ssup_ssuptrans_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/142050781241918/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_uc_db.uc_cbs_reason_1_0,scbucudpsit.dlsit_persist_uc_db.uc_cbs_reason_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/628289472052115/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_uc_db.uc_credit_1_0,scbucudpsit.dlsit_persist_uc_db.uc_credit_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/395432109342866/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_uc_db.uc_debit_1_0,scbucudpsit.dlsit_persist_uc_db.uc_debit_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/950685556567916/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-31',dlsit,ingestion,hive_metastore.dlsit_persist_wlth_banc_db.wlth_banc_prod_comm_rate,scbucudpsit.dlsit_persist_wlth_banc_db.wlth_banc_prod_comm_rate,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/220717668548082/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_csent_inc_db.csent_model_consent_master_1_0,scbucudpsit.dlsit_persist_csent_inc_db.csent_model_consent_master_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1024423622665065/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_eppd_inc_db.eppd_invtxn_1_0_view,scbucudpsit.dlsit_persist_eppd_inc_db.eppd_invtxn_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
